Date,AMZN,FSKAX,FTIHX,FXAIX,GOOG,META,NVDA,QQQ,VGT,VTI
2020-08-17,159.12049865722656,89.32117462158203,10.621037483215332,109.17119598388672,75.45051574707031,259.7350769042969,12.296466827392578,267.3480529785156,295.0762634277344,159.61514282226562
2020-08-18,165.62449645996094,89.45207977294922,10.64756965637207,109.440673828125,77.4695053100586,260.9086608886719,12.220467567443848,269.92132568359375,295.95379638671875,159.8568115234375
2020-08-19,163.0240020751953,89.07807922363281,10.603351593017578,108.97605895996094,76.91928100585938,261.1572570800781,12.098620414733887,268.10546875,295.490966796875,159.23397827148438
2020-08-20,164.86849975585938,89.33051300048828,10.53260326385498,109.31986236572266,78.62017822265625,267.542236328125,12.101113319396973,271.82452392578125,299.30010986328125,159.68946838378906
2020-08-21,164.23599243164062,89.55491638183594,10.523759841918945,109.71016693115234,78.55406951904297,265.5531311035156,12.641831398010254,273.7083740234375,302.4150085449219,160.08920288085938
2020-08-24,165.3730010986328,90.42449951171875,10.64756965637207,110.82530212402344,78.9407730102539,269.9092712402344,12.678459167480469,275.41741943359375,304.87420654296875,161.62295532226562
2020-08-25,167.32449340820312,90.73303985595703,10.682942390441895,111.22489166259766,79.93585205078125,279.2878112792969,12.708111763000488,277.5828552246094,306.3304138183594,162.16212463378906
2020-08-26,172.09249877929688,91.57455444335938,10.74484634399414,112.35860443115234,82.13080596923828,302.2518310546875,12.731038093566895,283.5061340332031,312.6662292480469,163.6308135986328
2020-08-27,170.0,91.7802505493164,10.67409896850586,112.55377960205078,81.23363494873047,291.62017822265625,12.586761474609375,282.62255859375,312.47332763671875,164.02122497558594
2020-08-28,170.08999633789062,92.40670013427734,10.736004829406738,113.31576538085938,81.73465728759766,292.0577392578125,13.104555130004883,284.0597839355469,315.4918212890625,165.1645965576172
2020-08-31,172.54800415039062,92.26644134521484,10.656411170959473,113.08345031738281,81.22618103027344,291.6002502441406,13.330559730529785,286.3416748046875,316.45611572265625,164.79278564453125
2020-09-01,174.95599365234375,92.9957504272461,10.682942390441895,113.93838500976562,82.54484558105469,293.82806396484375,13.779714584350586,291.2357177734375,323.9879150390625,166.25218200683594
2020-09-02,176.57249450683594,94.27670288085938,10.771376609802246,115.7040023803711,85.90337371826172,300.8495178222656,14.303644180297852,293.99346923828125,326.30230712890625,168.47386169433594
2020-09-03,168.39999389648438,90.93872833251953,10.559133529663086,111.6523666381836,81.60691833496094,289.5315856933594,12.976621627807617,279.0879821777344,307.00543212890625,162.61756896972656
2020-09-04,164.7310028076172,90.19073486328125,10.559133529663086,110.75096893310547,79.0819320678711,281.1874084472656,12.584794998168945,275.36883544921875,302.125732421875,161.23257446289062
2020-09-08,157.49200439453125,87.61011505126953,10.41763687133789,107.68436431884766,76.16675567626953,269.6805114746094,11.877413749694824,262.133544921875,288.962158203125,156.70558166503906
2020-09-09,163.4304962158203,89.36792755126953,10.567978858947754,109.85885620117188,77.38798522949219,272.2265625,12.677020072937012,269.8339538574219,298.0850830078125,159.7731170654297
2020-09-10,158.7554931640625,87.89996337890625,10.461854934692383,107.92596435546875,76.14836120605469,266.6272888183594,12.274972915649414,264.45440673828125,291.79742431640625,157.1517791748047
2020-09-11,155.81100463867188,87.88125610351562,10.567978858947754,107.99101257324219,75.58670806884766,265.15533447265625,12.128165245056152,262.6190490722656,289.4552917480469,157.2075653076172
2020-09-14,155.14849853515625,89.25572204589844,10.656411170959473,109.40353393554688,75.51512145996094,264.6978454589844,12.833799362182617,267.192626953125,295.6127014160156,159.66160583496094
2020-09-15,157.80650329589844,89.76063537597656,10.709473609924316,109.97038269042969,76.6165771484375,270.9336242675781,12.952194213867188,270.9797668457031,298.8411560058594,160.5725555419922
2020-09-16,153.90499877929688,89.46141052246094,10.72715950012207,109.46855926513672,75.59564208984375,262.0821838378906,12.477117538452148,266.6585693359375,294.36578369140625,160.042724609375
2020-09-17,150.43649291992188,88.6947250366211,10.700630187988281,108.54856872558594,74.33464813232422,253.42967224121094,12.42626953125,262.49285888671875,291.726806640625,158.7227325439453
2020-09-18,147.74549865722656,87.82516479492188,10.656411170959473,107.34052276611328,72.56814575195312,251.1521453857422,12.152839660644531,259.1427001953125,287.4447021484375,157.1796417236328
2020-09-21,148.02349853515625,86.7592544555664,10.408795356750488,106.10459899902344,71.1351547241211,246.79603576660156,12.479857444763184,259.76416015625,290.0932312011719,155.28335571289062
2020-09-22,156.44949340820312,87.61946105957031,10.408795356750488,107.21971130371094,72.84003448486328,253.3600616455078,12.59999942779541,264.5903015136719,294.90704345703125,156.82644653320312
2020-09-23,149.9929962158203,85.4782943725586,10.284985542297363,104.68280029296875,70.34236907958984,247.6613311767578,12.087536811828613,256.5111999511719,286.0914306640625,153.0431365966797
2020-09-24,150.989501953125,85.66529846191406,10.258456230163574,104.9987564086914,70.99250030517578,248.1685333251953,12.311114311218262,257.70556640625,286.9710388183594,153.36846923828125
2020-09-25,154.75650024414062,87.10521697998047,10.284985542297363,106.68073272705078,71.82108306884766,253.42967224121094,12.835294723510742,263.6969299316406,294.2013854980469,155.83631896972656
2020-09-28,158.70249938964844,88.58250427246094,10.426481246948242,108.3998794555664,72.79330444335938,255.41876220703125,12.996062278747559,269.17364501953125,299.6531677246094,158.66444396972656
2020-09-29,157.24400329589844,88.18981170654297,10.426481246948242,107.88880157470703,73.03238677978516,260.36163330078125,13.186244010925293,267.9598388671875,298.8315124511719,157.7777099609375
